System Info,v2.00
Aircraft Report Version,Date,Time,GDU Software Version,Airframe Name,System ID,System Part Number,System Version,Cockpit Ref Guide Part Number,Aircraft Identifier,Aircraft Serial Number,Flight Time (seconds)
"3","07-06-2022","13:54:01","21.50.5","Cirrus SR22 Turbo","000000025B289D04","006-B2647-N8","2647.N8","GPN 190-02184-XX","N122DR ","","734350"

Product Data,v2.00
LRU,Status,Serial Number,SW Part Number,Version,Product String,Description,Model Number,Functions Present,Parent LRU,Power-on Count,Power-on Time
"GIA 2 AUDIO","N/A","","006-D0425-29","4.09","","Alert Audio","0","0","GIA 2",,
"GIA 2 AUDIO Audio CONFIG","OK","","","","","","0","0","GIA 2 AUDIO",,
"GIA 2 AUDIO Audio Database","OK","","006-D0425-29","4.09","","Alert Audio","0","0","GIA 2 AUDIO",,
"GIA 2 BB","N/A","","006-B2548-BC","2.02","","GIA64 BB commit: 0ecfd73","0","0","GIA 2",,
"GMA 1","OK","1UF202894","006-B2103-05","5.20C","GMA 35xc","GMA 35xc Audio Processor","0","1",,"854","1716911"
"GMA 1 Region List","OK","","006-D3035-D8","5.20C","","GMA35xc Audio Region List","0","1","GMA 1",,
"GMA 1 Boot Block","N/A","","006-B2103-BH","5.20C","","GMA35xc Audio Boot Software","0","1","GMA 1",,
"GMA 1 System","OK","1UF202894","006-B2103-05","5.20C","GMA 35xc","GMA 35xc Audio Processor","0","1","GMA 1",,
"GMA 1 Audio CONFIG","OK","","006-D3035-EP","5.21C","","ARC GMA350c G1XXX","0","1","GMA 1",,
"GMA 1 GARMIN Public Key","N/A","","006-D3035-DA","5.01C","","GMA35xc Audio Key Region","0","1","GMA 1",,
"GMA 1 ARC","N/A","","006-D3035-EP","5.21C","","ARC GMA350c G1XXX","0","0","GMA 1",,
"GMA 1 AUX","OK","1UF202894","006-B2104-05","5.20C","GMA 35xc","GMA 35xc AUX Processor","0","0",,"824","1724257"
"GMA 1 AUX Region List","OK","","006-D3034-B7","5.20C","","GMA35xc Aux Region List","0","0","GMA 1 AUX",,
"GMA 1 AUX Boot Block","N/A","","006-B2104-BH","5.20C","","GMA35xc Aux Boot Software","0","0","GMA 1 AUX",,
"GMA 1 AUX System","OK","1UF202894","006-B2104-05","5.20C","GMA 35xc","GMA 35xc AUX Processor","0","0","GMA 1 AUX",,
"GMA 1 AUX Audio Database","OK","","006-D3034-36","4.20C","","GMA 35xc Audio Data","0","0","GMA 1 AUX",,
"GMA 1 AUX ASR CONFIG 1","N/A","","006-D3034-C4","5.50","","GMA x3xx ASR Grammars","0","0","GMA 1 AUX",,
"GMA 1 AUX ASR CONFIG 2","N/A","","006-D3034-08","2.00","","GMA x3xx ASR Language Model","0","0","GMA 1 AUX",,
"GMA 1 AUX ASR CONFIG 3","N/A","","006-D3034-09","2.00","","GMA x3xx ASR DDG2P","0","0","GMA 1 AUX",,
"GMA 1 AUX Unit Data","N/A","","006-D3034-31","4.20C","","GMA 35xc Config Region","0","0","GMA 1 AUX",,
"GMA 1 AUX GARMIN Public Key","N/A","","006-D3034-B9","5.01C","","GMA35xc Aux Key Region","0","0","GMA 1 AUX",,
"GMA 1 AUX Text-to-Speech Data","N/A","","006-D3034-24","4.10","","GMA x3xx TTS Voice Data","0","0","GMA 1 AUX",,
"GMA 1 AUX Text-to-Speech Grammar","N/A","","006-D3034-C5","5.50","","GMA x3xx TTS Grammars","0","0","GMA 1 AUX",,
"GMA 1 AUX AUD","N/A","","006-D3034-36","4.20C","","GMA 35xc Audio Data","0","0","GMA 1 AUX",,
"GMA 1 AUX BB","N/A","","006-B2104-BH","5.20C","","GMA35xc Aux Boot Software","0","0","GMA 1 AUX",,
"GMA 1 AUX RGN","N/A","","006-D3034-B7","5.20C","","GMA35xc Aux Region List","0","0","GMA 1 AUX",,
"GMA 1 BB","N/A","","006-B2103-BH","5.20C","","GMA35xc Audio Boot Software","0","0","GMA 1",,
"GMA 1 FPGA","N/A","","","","","","0","0","GMA 1",,
"GMA 1 RGN","N/A","","006-D3035-D8","5.20C","","GMA35xc Audio Region List","0","0","GMA 1",,
"GMC 1","OK","2ZN201065","006-B0742-13","3.11","GCU/GMC SYS","G1000 GCU/GMC SYS","34","0",,,
"GMU 1","OK","1CM026092","006-B0224-01","2.05","GMU44 SYS","","0","0",,,
"GMU 1 FPGA","N/A","","006-C0048-00","2.00","","GMU44 XILINX","0","0","GMU 1",,
"GMU 2","OK","1CM026091","006-B0224-01","2.05","GMU44 SYS","","0","0",,,
"GMU 2 FPGA","N/A","","006-C0048-00","2.00","","GMU44 XILINX","0","0","GMU 2",,
"GPS 1","OK","14516442063","006-B1827-20","8.0","WAAS ENGINE","01/15/2019","0","0",,,
"GPS 2","OK","14516442070","006-B1827-20","8.0","WAAS ENGINE","01/15/2019","0","0",,,
"GRS 1","OK","3KY002526","006-B1838-09","2.09","GSU75 AHRS","GSU75 AHRS","0","0",,,
"GRS 1 Aircraft CONFIG","OK","","006-D6038-22","2.00","","GSU 75 AHRS CONFIG CIRRUS SR","0","0","GRS 1",,
"GRS 1 Boot Block","N/A","","006-B1838-BD","2.02","","GSU75/GRS79/GDC72 BBL","0","0","GRS 1",,
"GRS 1 Region List","OK","","006-D5080-00","2.00","","GSU75 AHRS region list","0","0","GRS 1",,
"GRS 1 MV DB","N/A","","006-D2658-02","2020.00","","IGRF MODEL PARAMETERS ","0","0","GRS 1",,
"GRS 2","OK","3KY002528","006-B1838-09","2.09","GSU75 AHRS","GSU75 AHRS","0","0",,,
"GRS 2 Aircraft CONFIG","OK","","006-D6038-22","2.00","","GSU 75 AHRS CONFIG CIRRUS SR","0","0","GRS 2",,
"GRS 2 Boot Block","N/A","","006-B1838-BD","2.02","","GSU75/GRS79/GDC72 BBL","0","0","GRS 2",,
"GRS 2 Region List","OK","","006-D5080-00","2.00","","GSU75 AHRS region list","0","0","GRS 2",,
"GRS 2 MV DB","N/A","","006-D2658-02","2020.00","","IGRF MODEL PARAMETERS ","0","0","GRS 2",,
"GSA PTCH CTL","OK","1A1021785","006-B0398-46","3.56","GSA8X SYS","","0","0",,,
"GSA PTCH CTL System","OK","1A1021785","006-B0398-46","3.56","GSA8X SYS","","0","0","GSA PTCH CTL",,
"GSA PTCH MON","OK","1A1021785","006-B0398-46","3.56","GSA8X SYS","","0","0",,,
"GSA PTCH MON System","OK","1A1021785","006-B0398-46","3.56","GSA8X SYS","","0","0","GSA PTCH MON",,
"GSA ROLL CTL","OK","1A1021965","006-B0398-46","3.56","GSA8X SYS","","0","0",,,
"GSA ROLL CTL System","OK","1A1021965","006-B0398-46","3.56","GSA8X SYS","","0","0","GSA ROLL CTL",,
"GSA ROLL MON","OK","1A1021965","006-B0398-46","3.56","GSA8X SYS","","0","0",,,
"GSA ROLL MON System","OK","1A1021965","006-B0398-46","3.56","GSA8X SYS","","0","0","GSA ROLL MON",,
"GSA YAW CTL","OK","19Z011947","006-B0398-46","3.56","GSA8X SYS","","0","0",,,
"GSA YAW CTL System","OK","19Z011947","006-B0398-46","3.56","GSA8X SYS","","0","0","GSA YAW CTL",,
"GSA YAW MON","OK","19Z011947","006-B0398-46","3.56","GSA8X SYS","","0","0",,,
"GSA YAW MON System","OK","19Z011947","006-B0398-46","3.56","GSA8X SYS","","0","0","GSA YAW MON",,
"GSR 1","OK","1NZ007892","","","GSR 56","300025060902970","0","0",,,
"GTA PTCH TRM","OK","66905652","006-B0267-27","3.16","GTA82 SYS","","0","0",,,
"GTA PTCH TRM Boot Block","N/A","66905652","006-B0267-BD","3.10","GTA82 BB","","0","0","GTA PTCH TRM",,
"GTA PTCH TRM System","OK","66905652","006-B0267-27","3.16","GTA82 SYS","","0","0","GTA PTCH TRM",,
"GTS","OK","15L011326","006-B0551-35","4.13","GTS800","GTS8XX TRAFFIC SYSTEM","0","0",,"854","1701070"
"GTS AIRPORT DB","N/A","","","","","","0","0","GTS",,
"GTS AUDIO","N/A","","006-D0726-00","2.00","","GTS8XX AUDIO REGION","0","0","GTS",,
"GTS FPGA","N/A","","006-C0081-20","2.0","","GTS8XX FPGA","0","0","GTS",,
"GTS MAGENTIC VAR","N/A","","006-D0159-03","2015.00","","IGRF MODEL PARAMETERS ","0","0","GTS",,
"GTS RGN LIST","N/A","","006-D0725-02","4.00","","GTS8XX REGION LIST","0","0","GTS",,
"GTX 1","OK","3EF020857","006-B1607-0K","2.60","GTX 335","XPDR Main Board System","2","0",,,
